epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,602.019,0.4091,0.7036,0.8189,0.40221,1,0.45707,0.43075,0.35463,0.70564,0.84283,0.000583053,0.000583053,0.000583053
26,625.329,0.3975,0.61355,0.81807,0.39737,1,0.45162,0.42783,0.35587,0.67583,0.84471,0.000561055,0.000561055,0.000561055
27,648.092,0.39498,0.59049,0.8376,0.39585,1,0.44751,0.42278,0.35642,0.67913,0.84055,0.000539057,0.000539057,0.000539057
28,671.103,0.38859,0.59312,0.81732,0.39474,1,0.44681,0.42409,0.36245,0.76403,0.84338,0.000517059,0.000517059,0.000517059
29,693.898,0.39337,0.60364,0.81986,0.39616,1,0.44461,0.42109,0.36896,0.73874,0.84845,0.000495062,0.000495062,0.000495062
30,716.829,0.39055,0.6052,0.81825,0.39539,1,0.44286,0.42234,0.35539,0.70751,0.84343,0.000473064,0.000473064,0.000473064
31,740.28,0.39196,0.52974,0.82834,0.39764,1,0.44298,0.42275,0.34219,0.63824,0.83856,0.000451066,0.000451066,0.000451066
32,763.297,0.38838,0.59205,0.82522,0.39878,1,0.44582,0.42465,0.33961,0.65649,0.83829,0.000429068,0.000429068,0.000429068
33,786.713,0.38155,0.64719,0.81755,0.39916,1,0.44661,0.42835,0.33847,0.64987,0.83967,0.00040707,0.00040707,0.00040707
34,809.946,0.37664,0.59672,0.82099,0.40043,1,0.44826,0.4287,0.32457,0.62338,0.83703,0.000385073,0.000385073,0.000385073
35,833.034,0.37985,0.6352,0.81448,0.40412,1,0.45056,0.4325,0.34789,0.61226,0.83987,0.000363075,0.000363075,0.000363075
36,856.091,0.38537,0.58361,0.81939,0.40442,1,0.45181,0.43164,0.3537,0.61766,0.84041,0.000341077,0.000341077,0.000341077
37,879.061,0.35628,0.57472,0.82331,0.40407,1,0.45141,0.43062,0.33572,0.60061,0.83521,0.000319079,0.000319079,0.000319079
38,902.375,0.3877,0.60267,0.80936,0.40317,1,0.4516,0.42985,0.3361,0.59116,0.83513,0.000297081,0.000297081,0.000297081
39,925.547,0.37197,0.57032,0.81504,0.40169,1,0.45225,0.4294,0.34083,0.59455,0.83633,0.000275084,0.000275084,0.000275084
40,948.842,0.36084,0.58281,0.81147,0.40325,1,0.45228,0.4323,0.33741,0.60071,0.83585,0.000253086,0.000253086,0.000253086
41,971.837,0.37537,0.63592,0.81464,0.40599,1,0.46013,0.43888,0.34177,0.66668,0.83589,0.000231088,0.000231088,0.000231088
42,994.648,0.36357,0.6365,0.82604,0.40347,1,0.46164,0.44002,0.3387,0.65248,0.83511,0.00020909,0.00020909,0.00020909
